"RIS Name","Description","Database","Report","FRB Number","Call Names"
"DRSCHTMQ","TOTAL DBT SEC-HTM-CHG-OFF-QTR","CDI","RI-B","",""
"DRTOTQ","LOAN AND LEASE LOSS CHG-OFFS-QTR","CDI","RI-B","",""
"EAMINTA","AMORT OF INTAN ASSETS-ANN","CDI","RI-INC","",""
"EAMINTQ","AMORTIZATION OF INTANG ASSET-QTR","CDI","RI-INC","",""
"ECD100A","INT EXP TIME CD GT $250,000-ANN","CDI","RI-INC","",""
"ECD100Q","INT EXP TIME CD GT $250,000-QTR","CDI","RI-INC","",""
"ECOSTF","COST OF FUNDS","CDI","RI-INC","",""
"ECOSTFA","COST OF FUNDS-ANN","CDI","RI-INC","",""
"ECOSTFQ","COST OF FUNDS-QTR","CDI","RI-INC","",""
"ED","EQUITY DERIVATIVE-TOTAL CONTRACT","CDI","RC-L","",""
"EDCM","EQUITY, COMMODITY & OTHER-TOTAL","CDI","RC-L","",""
"EDEPA","DEPOSIT INTEREST EXPENSE-ANN","CDI","RI-INC","",""
"EDEPDOMA","DEPOSIT INTEREST EXPENSE-DOM-ANN","CDI","RI-INC","",""
"EDEPDOMQ","DEPOSIT INTEREST EXPENSE-DOM-QTR","CDI","RI-INC","",""
"EDEPFORA","DEPOSIT INTEREST EXPENSE-FOR-ANN","CDI","RI-INC","",""
"EDEPFORQ","DEPOSIT INTEREST EXPENSE-FOR-QTR","CDI","RI-INC","",""
"EDEPQ","DEPOSIT INTEREST EXPENSE-QTR","CDI","RI-INC","",""
"EEFF","EFFICIENCY RATIO EXPENSE","CDI","RI-INC","",""
"EEFFQ","EFFICIENCY RATIO EXPENSE-QTR","CDI","RI-INC","",""
"EFREPPA","FED FUNDS & REPO INT EXPENSE-ANN","CDI","RI-INC","",""
"EFREPPQ","FED FUNDS & REPO INT EXPENSE-QTR","CDI","RI-INC","",""
"EINTEXPA","TOTAL INTEREST EXPENSE-ANN","CDI","RI-INC","",""
"EINTGWA","GOODWILL IMPAIRMENT LOSSES - QTR","CDI","RI-INC","",""
"EINTGWQ","GOODWILL IMPAIRMENT LOSSES - QTR","CDI","RI-INC","",""
"EINTGWQA","GOODWILL IMPAIRMT LOSSES-QTR-ANN","CDI","RI-INC","",""
"EINTOTHA","AMORT&IMPAIR LOSS OTH INT-ANN","CDI","RI-INC","",""
"EINTOTHQ","AMORT&IMPAIR LOSS OTHINT-QTR","CDI","RI-INC","",""
"EINTOTQA","AMORT&IMP LOSS OTH INT-QTR-ANN","CDI","RI-INC","",""
"EINTXQ","TOTAL INTEREST EXPENSE-QTR","CDI","RI-INC","",""
"EINTXQA","TOTAL INTEREST EXPENSE-QTR-ANN","CDI","RI-INC","",""
"ELNATQ","PROV FOR CREDIT LOSSES-QTR","CDI","RI-INC","",""
"ELNATQA","PROV FOR CREDIT LOSSES-QTR-ANN","CDI","RI-INC","",""
"ELNATQCP","PROV FOR CREDIT LOSSES-QTR-CP","CDI","RI-INC","",""
"ELNATQPP","PROV FOR CREDIT LOSSES-QTR-PP","CDI","RI-INC","",""
"ELNATRA","PROVISION FOR CREDIT LOSSES - ANN","CDI","RI-INC","",""
"ELNATRCP","PROV FOR CREDIT LOSSES-CP","CDI","RI-INC","",""
"ELNATRPP","PROV FOR CREDIT LOSSES-PP","CDI","RI-INC","",""
"ELNLOSA","PROV CREDIT LOSSES-ANN","CDI","RI-B","",""
"ELNLOSFQ","PROV FOR LN&LS LOSSES-FOR-QTR","CDI","RI-INC","",""
"ELNLOSQ","PROV CREDIT LOSSES-QTR","CDI","RI-B","",""
"ELNLOSQA","PROV CREDIT LOSSES-QTR-ANN","CDI","RI-B","",""
"ELNLSFOQ","PROV CREDIT LOSS-FGN OFF-QTR","CDI","RI-INC","",""
"EMMDAA","MMDA INTEREST EXPENSE-ANN","CDI","RI-INC","",""
"EMMDAQ","MMDA INTEREST EXPENSE-QTR","CDI","RI-INC","",""
"EMTGLSA","MORTGAGE DEBT INTEREST EXP-ANN","CDI","RI-INC","",""
"EMTGLSQ","MORTGAGE DEBT INTEREST EXP-QTR","CDI","RI-INC","",""
"ENONTRAA","NONTRANSACTION ACCTS INT EXP-ANN","CDI","RI-INC","",""
"ENONTRAQ","NONTRANSACTION ACCTS INT EXP-QTR","CDI","RI-INC","",""
"ENOWMMAA","NOW & MMDA INTEREST EXPENSE-ANN","CDI","RI-INC","",""
"ENOWMMAQ","NOW & MMDA INTEREST EXPENSE-QTR","CDI","RI-INC","",""
"EOFAQ","PROV CR LOSS-OTH FIN ASSETS-QTR","CDI","RI-B","",""
"EOFFBSQ","PROV CR LOSS - OFF B/S - QTR","CDI","RI-B","",""
"EOTHINQA","OTHER INTEREST EXPENSE-QTR-ANN","CDI","RI-INC","",""
"EOTHINTA","OTHER INTEREST EXPENSE-ANN","CDI","RI-INC","",""
"EOTHINTQ","OTHER INTEREST EXPENSE-QTR","CDI","RI-INC","",""
"EOTHNINA","ALL OTHER NONINTEREST EXP-ANN","CDI","RI-INC","",""
"EOTHNINQ","ALL OTHER NONINTEREST EXP-QTR","CDI","RI-INC","",""
"EOTHTIMA","INT EXP TIME CD LE $250,000-ANN","CDI","RI-INC","",""
"EOTHTIMQ","INT EXP TIME CD LE $250,000-QTR","CDI","RI-INC","",""
"EPREMAGA","PREMISES & FIXED ASSETS EXP-ANN","CDI","RI-INC","",""
"EPREMAGQ","PREMISES & FIXED ASSETS EXP-QTR","CDI","RI-INC","",""
"EQ2","TOTAL BANK EQUITY CAPITAL-CAVG2","CDI","RC-BAL","",""
"EQ5","TOTAL BANK EQUITY CAPITAL-CAVG5","CDI","RC-BAL","",""
"EQCDIVA","CASH DIVIDENDS ON COMM & PFD-ANN","CDI","RI-A","",""
"EQCDIVQ","CASH DIVIDENDS ON CAPITAL STK-Q","CDI","RI-A","",""
"EQCFCTA2","CUMULATIVE FOR CUR TRAN AD-CAVG2","CDI","RC-BAL","",""
"EQCFCTA5","CUMULATIVE FOR CUR TRAN AD-CAVG5","CDI","RC-BAL","",""
"EQCS2","COMMON STOCK-CAVG2","CDI","RC-BAL","",""
"EQCS5","COMMON STOCK-CAVG5","CDI","RC-BAL","",""
"EQCSSTXQ","CAPITAL STOCK TRANSACTIONS - QTR","CDI","RI-A","",""
"EQCSXQ","NET ADDITIONS TO CAPITAL STOCK-Q","CDI","RI-A","",""
"EQCTRSXQ","TREASURY STOCK TRANSACTION - QTR","CDI","RI-A","",""
"EQPP2","PERPETUAL PREFERRED STOCK-CAVG2","CDI","RC-BAL","",""
"EQPP5","PERPETUAL PREFERRED STOCK-CAVG5","CDI","RC-BAL","",""
"EQRCAPHJ","RECIPROCAL HOLD CAP INST - ADJ","CDI","RC-BAL","",""
"EQSUR2","SURPLUS-CAVG2","CDI","RC-BAL","",""
"EQSUR5","SURPLUS-CAVG5","CDI","RC-BAL","",""
"EQTOTCP","TOTAL BANK EQUITY CAPITAL","CDI","RC-BAL","",""
"EQTOTPP","TOTAL EQUITY-PP","CDI","RC-BAL","",""
"EQUP115","UNREAL HOLDING G/L ADJ-FASB 115","CDI","RC-R","",""
"EQUP2","UNDIVIDED PROFITS-CAVG2","CDI","RC-BAL","",""
"EQUP5","UNDIVIDED PROFITS-CAVG5","CDI","RC-BAL","",""
"ERNAST","TOTAL EARNING ASSETS","CDI","RC-BAL","",""
"ERNAST2","TOTAL EARNING ASSETS-CAVG2I","CDI","RC-BAL","",""
"ERNAST5","TOTAL EARNING ASSETS-CAVG5I","CDI","RC-BAL","",""
"ESALA","SALARIES AND EMPLOYEE BEN-ANN","CDI","RI-INC","",""
"ESALQ","SALARIES AND EMPLOYEE BEN-QTR","CDI","RI-INC","",""
"ESAVDEPA","OTHER SAVINGS ACCTS INT EXP-ANN","CDI","RI-INC","",""
"ESAVDEPQ","OTHER SAVINGS ACCTS INT EXP-QTR","CDI","RI-INC","",""
"ESAVDPA","NONTRANSACT SAV ACCT INT EXT-ANN","CDI","RI-INC","",""
"ESAVDPQ","NONTRANSACT SAV ACCT INT EXP-QTR","CDI","RI-INC","",""
"ESCAFSQ","PROV CR LOSS-SEC AFS-QTR","CDI","RI-INC","",""
